instant,hr,weekday,cnt
16285.998891734253,6.998584,4.996822,366.99402
7202.012180101312,15.984794,1.9919747,297.9963
15755.99230394816,16.007538,1.9845215,541.0041
15720.001803286988,4.026315,1.0051068,6.99927
12949.997368089702,17.99199,3.9847832,697.0058
5020.988429885017,1.9948974,2.004377,8.011617
141.9822447092185,4.0016,5.008643,0.9953486
8719.012791011302,2.0006201,2.9822707,1.0042145
2176.0124585572376,11.991369,1.992922,38.005695
14627.00436348427,14.989199,4.02035,270.01065
665.993379287653,0.9958884,0.9917015,6.9942985
8341.992530086645,4.999963,0.9995093,21.01473
14603.99545611613,16.0073,3.0190196,430.00354
663.011893133342,21.98728,-0.005331653,21.00947
5531.986327433272,8.989093,2.0006518,225.01097
16653.999734219065,16.002157,6.011003,442.98404
16241.015760284925,10.003205,2.989224,170.99728
3572.013729318332,16.990328,4.0162635,572.00665
1565.0043709945592,14.995564,3.9952035,13.990913
11946.999937253457,23.003042,4.012371,166.01543
8577.991965748723,4.017232,3.9896278,2.994819
16013.989630313805,22.015287,0.007228822,78.99377
16807.993954290843,1.9930437,5.9919763,70.00587
10310.99930450472,16.016203,6.0083704,390.0047
7430.003398521354,4.005605,5.00119,8.002202
8537.974095908154,10.993943,1.9875902,29.999624
12463.00130890336,11.011353,5.0010676,264.00555
7099.997572190234,9.987354,4.996664,130.00871
12448.011964175175,19.998886,4.00391,478.021
3725.997399173673,2.9984937,4.0012236,2.0102932
8563.007866399965,13.000963,2.9953842,159.02168
15986.008305014868,17.994549,5.993636,296.99033
16060.00645128258,20.003834,1.988505,228.01053
17037.985850878107,16.004728,1.0068971,302.0068
85.01165181180075,15.990848,1.9920135,83.01355
6771.990139002053,16.99103,5.0103736,480.99933
12662.006136354745,17.992065,6.0103946,570.99
2659.992042373452,16.992357,0.9887673,520.99585
9789.995124138011,20.01013,4.9907503,171.00838
12044.999834497465,0.9993169,1.9911648,26.98794
9188.998757586052,17.998205,1.0188105,282.01706
11887.00672361457,10.996365,2.0020144,223.99461
5815.007153664868,16.990099,0.016252467,375.99216
2962.98265882596,7.9822397,0.00031665753,86.01403
6191.017463168622,12.014646,1.9884815,60.00068
7561.003239292457,15.002026,3.008167,65.99618
5215.995200809643,4.9972835,2.9843352,31.988981
12608.998070218002,13.006824,4.0031185,284.00635
1752.9987684498135,16.998781,5.0135674,332.0026
470.01443882504566,13.978856,4.996993,61.991497
11804.000730593732,0.018038847,5.996266,136.01414
11270.99622582155,18.98002,3.9885626,586.00726
14181.98836805008,2.0053167,0.011193052,118.9946
419.9898348227488,12.022786,2.9928386,70.00315
6788.993653981251,10.001281,5.9910636,322.00964
4374.014665959828,2.98043,3.0052004,5.9838033
2510.006762320429,10.973761,2.001612,71.99594
15339.009017164624,6.99797,5.9992256,84.001854
3433.998425580872,23.002497,5.017972,126.991585
5024.005081284719,4.9960413,2.016787,21.013563
16700.007394012082,13.995672,1.0011822,260.0058
12165.974178373655,2.0032291,-5.6214143e-05,61.010475
13167.99110938172,20.00121,5.986872,276.00714
5414.013300196874,10.998849,4.001851,141.00656
1888.007021716577,10.000332,4.0236835,64.989975
8887.983748286746,3.9856484,3.001008,2.0093129
14701.99701641398,18.011686,-0.013216563,560.0039
2175.016404351752,11.0098505,2.0028138,18.995462
3712.000274318326,12.9911,2.9981818,135.99887
6124.998877795204,17.995934,5.9996557,328.99023
4052.984030296058,18.020174,3.0013857,513.0016
6711.990357057796,4.997561,2.9931588,21.985275
11574.992507388628,10.99142,2.9984212,183.99763
8124.003081556825,2.9901063,6.0015383,24.993797
8638.987174643175,16.993656,5.989092,129.00166
15734.008790765096,18.024609,1.0071101,786.00006
9394.023137297994,7.007705,2.9824436,208.00429
12854.989943769631,18.986292,-0.0015487646,422.9878
14750.987375609337,18.993174,1.996337,596.01025
10097.013487637603,18.010239,4.005488,524.9961
15482.010767137415,6.006308,5.0018225,143.00446
2442.0013409275143,14.998505,5.9819374,77.99433
834.011273179571,4.0162973,0.97920436,2.0034015
789.0051105450535,7.0094385,5.998366,4.0166078
